text,label
"amazing product, exceeded all expectations.",positive
"average product, meets expectations.",neutral
"horrible experience, will never buy again.",negative
"terrible experience, very unhappy.",negative
"great product, excellent customer service.",positive
"Quite poor product, does not meet expectations.",negative
"Pretty terrible product, complete waste of money.",negative
Quite very unhappy with this purchase.,negative
Really this is wonderful! i'm very satisfied.,positive
Very worst purchase ever. do not recommend.,negative
very disappointed with this purchase.,negative
Pretty the item arrived as described.,neutral
"Very functional, nothing to write home about.",neutral
"horrible product, completely unsatisfied.",negative
"Pretty the item is fine, nothing special.",neutral
"horrible quality, avoid at all costs.",negative
Very excellent service and great product.,positive
worst purchase ever. do not recommend.,negative
"Extremely fantastic product, exceeded my expectations.",positive
"terrible customer service, avoid this company.",negative
Extremely poor service and terrible product.,negative
"Quite it's okay, meets basic needs.",neutral
"Really it's decent, nothing to complain about.",neutral
Pretty it does what it's supposed to do.,neutral
Pretty love this product! it's exactly what i needed.,positive
"Extremely great product, excellent customer service.",positive
outstanding service and great customer support.,positive
Pretty great quality and fast shipping.,positive
"wonderful experience, will definitely buy again.",positive
"Pretty poor quality, not recommended.",negative
"Quite excellent value, would buy again.",positive
"awful product, nothing works as advertised.",negative
"Pretty terrible product, complete waste of money.",negative
Pretty the product is acceptable.,neutral
"terrible product, complete waste of money.",negative
"Quite terrible experience, very unhappy.",negative
Very it does what it's supposed to do.,neutral
Quite worst product i've ever purchased.,negative
this product is amazing! i love it so much.,positive
"Standard product, does its job.",neutral
love this product! it's exactly what i needed.,positive
"awful quality, very disappointed.",negative
"excellent quality, fast delivery, great price.",positive
Really excellent service and great product.,positive
excellent service and great product.,positive
"great product, excellent customer service.",positive
"Extremely perfect product, highly recommend!",positive
"standard quality, works fine.",neutral
Quite love this product! it's exactly what i needed.,positive
"Very awful quality, very disappointed.",negative
this product is amazing! i love it so much.,positive
worst purchase ever. do not recommend.,negative
this product is amazing! i love it so much.,positive
"it's decent, nothing to complain about.",neutral
Excellent service and great product.,positive
"Horrible experience, will never buy again.",negative
"Very terrible experience, would not recommend.",negative
This is the best product I've ever used.,positive
"cheap quality, broke after one use.",negative
"fantastic product, exceeded my expectations.",positive
"Extremely functional product, nothing exceptional.",neutral
"The product is fine, nothing exceptional.",neutral
"Quite standard quality, works fine.",neutral
"Really functional product, nothing exceptional.",neutral
"Very terrible experience, would not recommend.",negative
Pretty it does what it's supposed to do.,neutral
"Extremely poor product, does not meet expectations.",negative
excellent quality and fast shipping. highly recommend!,positive
"It's okay, meets basic needs.",neutral
"Pretty average quality, acceptable for the price.",neutral
"it's okay, does what it's supposed to do.",neutral
"fantastic quality, very pleased with purchase.",positive
"Extremely excellent value, would buy again.",positive
"Pretty horrible product, completely unsatisfied.",negative
this product is a complete disaster.,negative
Quite great value for money. very satisfied!,positive
"the item is fine, nothing special.",neutral
"Terrible experience, would not recommend.",negative
very disappointed with this purchase.,negative
"excellent quality, fast delivery, great price.",positive
Really bad service and unhelpful customer support.,negative
"Average quality, nothing remarkable.",neutral
"Really the product is functional, nothing more.",neutral
It does what it's supposed to do.,neutral
"Pretty outstanding product, highly recommended!",positive
"Really poor quality product, not worth the price.",negative
"horrible product, completely unsatisfied.",negative
highly satisfied with this purchase.,positive
"Quite amazing product, exceeded all expectations.",positive
"Really wonderful experience, will definitely buy again.",positive
Quite the product arrived on time. it works as expected.,neutral
Pretty great quality and fast shipping.,positive
very unhappy with this purchase.,negative
"fantastic quality, very pleased with purchase.",positive
"Very wonderful experience, will definitely buy again.",positive
worst purchase ever. do not recommend.,negative
Very worst product i've ever purchased.,negative
the product arrived on time. it works as expected.,neutral
"Functional product, nothing exceptional.",neutral
outstanding service and great customer support.,positive
"Pretty outstanding product, highly recommended!",positive
best purchase i've made this year. worth every penny.,positive
"terrible product, complete waste of money.",negative
"it's okay, nothing special.",neutral
"Very it's okay, nothing special.",neutral
"Extremely awful quality, very disappointed.",negative
bad service and unhelpful customer support.,negative
"the product is decent, nothing exceptional.",neutral
Really this is the best product i've ever used.,positive
very disappointed with this purchase.,negative
worst quality i've ever seen.,negative
"Quite horrible quality, avoid at all costs.",negative
Really this is wonderful! i'm very satisfied.,positive
Very perfect product for my needs. very happy!,positive
"functional product, nothing exceptional.",neutral
Extremely great value for money. very satisfied!,positive
worst quality i've ever seen.,negative
"standard product, does its job.",neutral
Quite this is wonderful! i'm very satisfied.,positive
Pretty this product is a complete disaster.,negative
"Very it's okay, does what it's supposed to do.",neutral
"poor quality, not recommended.",negative
Extremely best purchase i've made this year. worth every penny.,positive
"terrible experience, very unhappy.",negative
the product is acceptable.,neutral
"bad product, complete waste.",negative
"cheap quality, broke after one use.",negative
"horrible product, completely unsatisfied.",negative
"Really the item is fine, nothing special.",neutral
very unhappy with this purchase.,negative
"Extremely it's okay, does what it's supposed to do.",neutral
"standard product, does its job.",neutral
"Pretty average quality, acceptable for the price.",neutral
"the product is decent, nothing exceptional.",neutral
"horrible experience, will never buy again.",negative
"It works, but could be better.",neutral
very disappointed with this purchase.,negative
"Pretty average product, meets expectations.",neutral
"Terrible product, complete waste of money.",negative
"Functional, nothing to write home about.",neutral
"This is terrible, do not buy.",negative
"Pretty standard product, does its job.",neutral
"horrible product, completely unsatisfied.",negative
"Really terrible customer service, avoid this company.",negative
Very poor service and terrible product.,negative
"Very it's okay, nothing special.",neutral
Really excellent quality and fast shipping. highly recommend!,positive
perfect product for my needs. very happy!,positive
"wonderful experience, will definitely buy again.",positive
